        1.000000e-01        3.449557e-04        3.372982e-04        3.508299e-02        1.285269e-02        1.256006e-02        6.438701e-01       -2.281432e-02        2.336503e-02       -2.510098e-04       -3.964415e-01        4.070678e-01        3.189320e-04
        1.040000e-01        3.991576e-04        3.902630e-04        3.769660e-02        1.426243e-02        1.393612e-02        6.628572e-01       -2.441964e-02        2.501224e-02       -2.886867e-04       -4.056940e-01        4.166842e-01        3.013945e-04
        1.080000e-01        4.591689e-04        4.488979e-04        4.038524e-02        1.575754e-02        1.539528e-02        6.813869e-01       -2.606133e-02        2.669703e-02       -3.300769e-04       -4.145519e-01        4.259007e-01        2.759206e-04
        1.120000e-01        5.253328e-04        5.135370e-04        4.314710e-02        1.733880e-02        1.693827e-02        6.994655e-01       -2.773786e-02        2.841782e-02       -3.753549e-04       -4.230249e-01        4.347269e-01        2.418535e-04
        1.160000e-01        5.979951e-04        5.845167e-04        4.598037e-02        1.900688e-02        1.856571e-02        7.170990e-01       -2.944772e-02        3.017305e-02       -4.246924e-04       -4.311223e-01        4.431720e-01        1.985511e-04
        1.200000e-01        6.775043e-04        6.621759e-04        4.888330e-02        2.076234e-02        2.027811e-02        7.342936e-01       -3.118946e-02        3.196121e-02       -4.782577e-04       -4.388533e-01        4.512449e-01        1.453883e-04
        1.240000e-01        7.642109e-04        7.468554e-04        5.185414e-02        2.260563e-02        2.207590e-02        7.510549e-01       -3.296164e-02        3.378080e-02       -5.362155e-04       -4.462265e-01        4.589540e-01        8.175843e-05
        1.280000e-01        8.584669e-04        8.388974e-04        5.489117e-02        2.453712e-02        2.395941e-02        7.673889e-01       -3.476288e-02        3.563039e-02       -5.987268e-04       -4.532503e-01        4.663075e-01        7.074984e-06
        1.320000e-01        9.606259e-04        9.386453e-04        5.799269e-02        2.655710e-02        2.592888e-02        7.833011e-01       -3.659182e-02        3.750854e-02       -6.659482e-04       -4.599329e-01        4.733133e-01       -7.922702e-05
        1.360000e-01        1.071042e-03        1.046443e-03        6.115703e-02        2.866576e-02        2.798448e-02        7.987973e-01       -3.844713e-02        3.941388e-02       -7.380324e-04       -4.662821e-01        4.799790e-01       -1.776898e-04
        1.400000e-01        1.190070e-03        1.162636e-03        6.438252e-02        3.086321e-02        3.012629e-02        8.138829e-01       -4.032752e-02        4.134503e-02       -8.151272e-04       -4.723054e-01        4.863119e-01       -2.888316e-04
        1.440000e-01        1.318066e-03        1.287569e-03        6.766755e-02        3.314950e-02        3.235432e-02        8.285633e-01       -4.223174e-02        4.330068e-02       -8.973757e-04       -4.780102e-01        4.923190e-01       -4.131460e-04
        1.480000e-01        1.455385e-03        1.421586e-03        7.101050e-02        3.552459e-02        3.466851e-02        8.428440e-01       -4.415855e-02        4.527950e-02       -9.849162e-04       -4.834035e-01        4.980071e-01       -5.511006e-04
        1.520000e-01        1.602381e-03        1.565031e-03        7.440978e-02        3.798840e-02        3.706875e-02        8.567301e-01       -4.610674e-02        4.728023e-02       -1.077882e-03       -4.884920e-01        5.033827e-01       -7.031366e-04
        1.560000e-01        1.759410e-03        1.718250e-03        7.786382e-02        4.054074e-02        3.955485e-02        8.702268e-01       -4.807514e-02        4.930161e-02       -1.176400e-03       -4.932824e-01        5.084521e-01       -8.696683e-04
        1.600000e-01        1.926825e-03        1.881584e-03        8.137108e-02        4.318141e-02        4.212656e-02        8.833394e-01       -5.006261e-02        5.134241e-02       -1.280593e-03       -4.977809e-01        5.132212e-01       -1.051082e-03
        1.640000e-01        2.104979e-03        2.055376e-03        8.493003e-02        4.591012e-02        4.478358e-02        8.960728e-01       -5.206801e-02        5.340142e-02       -1.390578e-03       -5.019936e-01        5.176958e-01       -1.247736e-03
        1.680000e-01        2.294223e-03        2.239966e-03        8.853916e-02        4.872654e-02        4.752558e-02        9.084320e-01       -5.409025e-02        5.547745e-02       -1.506465e-03       -5.059264e-01        5.218817e-01       -1.459960e-03
        1.720000e-01        2.494907e-03        2.435694e-03        9.219699e-02        5.163029e-02        5.035214e-02        9.204219e-01       -5.612825e-02        5.756935e-02       -1.628360e-03       -5.095850e-01        5.257840e-01       -1.688056e-03
        1.760000e-01        2.707381e-03        2.642896e-03        9.590205e-02        5.462092e-02        5.326281e-02        9.320474e-01       -5.818096e-02        5.967596e-02       -1.756361e-03       -5.129748e-01        5.294079e-01       -1.932295e-03
        1.800000e-01        2.931990e-03        2.861908e-03        9.965289e-02        5.769795e-02        5.625712e-02        9.433132e-01       -6.024734e-02        6.179618e-02       -1.890561e-03       -5.161012e-01        5.327585e-01       -2.192919e-03
        1.840000e-01        3.169079e-03        3.093063e-03        1.034481e-01        6.086088e-02        5.933452e-02        9.542241e-01       -6.232640e-02        6.392888e-02       -2.031047e-03       -5.189691e-01        5.358405e-01       -2.470143e-03
        1.880000e-01        3.418991e-03        3.336694e-03        1.072862e-01        6.410913e-02        6.249445e-02        9.647847e-01       -6.441712e-02        6.607299e-02       -2.177900e-03       -5.215836e-01        5.386584e-01       -2.764149e-03
        1.920000e-01        3.682065e-03        3.593128e-03        1.111659e-01        6.744210e-02        6.573631e-02        9.749997e-01       -6.651856e-02        6.822743e-02       -2.331192e-03       -5.239494e-01        5.412168e-01       -3.075093e-03
        1.960000e-01        3.958640e-03        3.862693e-03        1.150858e-01        7.085915e-02        6.905944e-02        9.848736e-01       -6.862975e-02        7.039116e-02       -2.490991e-03       -5.260710e-01        5.435199e-01       -3.403099e-03
        2.000000e-01        4.249049e-03        4.145711e-03        1.190444e-01        7.435961e-02        7.246318e-02        9.944108e-01       -7.074976e-02        7.256315e-02       -2.657358e-03       -5.279529e-01        5.455718e-01       -3.748263e-03
        2.040000e-01        4.553627e-03        4.442505e-03        1.230406e-01        7.794279e-02        7.594682e-02        1.003616e+00       -7.287767e-02        7.474236e-02       -2.830347e-03       -5.295993e-01        5.473763e-01       -4.110652e-03
        2.080000e-01        4.872701e-03        4.753391e-03        1.270729e-01        8.160794e-02        7.950964e-02        1.012493e+00       -7.501259e-02        7.692781e-02       -3.010005e-03       -5.310144e-01        5.489375e-01       -4.490302e-03
        2.120000e-01        5.206599e-03        5.078686e-03        1.311401e-01        8.535430e-02        8.315088e-02        1.021047e+00       -7.715362e-02        7.911849e-02       -3.196372e-03       -5.322021e-01        5.502588e-01       -4.887221e-03
        2.160000e-01        5.555643e-03        5.418702e-03        1.352409e-01        8.918108e-02        8.686975e-02        1.029282e+00       -7.929991e-02        8.131345e-02       -3.389482e-03       -5.331664e-01        5.513440e-01       -5.301390e-03
        2.200000e-01        5.920153e-03        5.773747e-03        1.393740e-01        9.308749e-02        9.066546e-02        1.037202e+00       -8.145059e-02        8.351171e-02       -3.589362e-03       -5.339108e-01        5.521963e-01       -5.732759e-03
        2.240000e-01        6.300448e-03        6.144127e-03        1.435381e-01        9.707266e-02        9.453716e-02        1.044811e+00       -8.360483e-02        8.571233e-02       -3.796030e-03       -5.344391e-01        5.528191e-01       -6.181252e-03
        2.280000e-01        6.696839e-03        6.530144e-03        1.477320e-01        1.011358e-01        9.848403e-02        1.052113e+00       -8.576180e-02        8.791437e-02       -4.009501e-03       -5.347546e-01        5.532155e-01       -6.646761e-03
        2.320000e-01        7.109636e-03        6.932098e-03        1.519546e-01        1.052759e-01        1.025052e-01        1.059114e+00       -8.792068e-02        9.011692e-02       -4.229778e-03       -5.348608e-01        5.533888e-01       -7.129156e-03
        2.360000e-01        7.539147e-03        7.350284e-03        1.562045e-01        1.094922e-01        1.065998e-01        1.065816e+00       -9.008068e-02        9.231907e-02       -4.456860e-03       -5.347608e-01        5.533418e-01       -7.628276e-03
        2.400000e-01        7.985674e-03        7.784993e-03        1.604807e-01        1.137837e-01        1.107669e-01        1.072224e+00       -9.224100e-02        9.451992e-02       -4.690740e-03       -5.344580e-01        5.530774e-01       -8.143933e-03
        2.440000e-01        8.449516e-03        8.236514e-03        1.647819e-01        1.181496e-01        1.150056e-01        1.078342e+00       -9.440087e-02        9.671859e-02       -4.931399e-03       -5.339552e-01        5.525985e-01       -8.675913e-03
        2.480000e-01        8.930969e-03        8.705132e-03        1.691071e-01        1.225887e-01        1.193150e-01        1.084173e+00       -9.655952e-02        9.891420e-02       -5.178817e-03       -5.332555e-01        5.519077e-01       -9.223978e-03
